,image,First_caption,Second_caption,Thrid_caption,Forth_caption,Fifth_caption,new_caption,1_gram_bleu,2_gram_bleu,3_gram_bleu,4_gram_bleu,culmulated_4_gram_bleu
0,3688858505_e8afd1475d.jpg,blond girl in green dress and elaborate gold necklace stands in front of few women and man,few people with girl standing up in the center wearing green dress,girl is wear green dress,blonde girl wearing green dress standing,woman in green dress being observed,two women are standing on the street,0.42857142857142855,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,1.4740564900137075e-231
1,3689355450_fd559b816d.jpg,boy wearing plaid shorts jumping over big water fountain,man in plaid shorts is jumping over fountain,man is jumping over water fountain,man jumps near water fountain,the person wearing flannel shorts is jumping over fountain,man in red shirt is jumping off of the stairs,0.5,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,8.612150057732663e-155
2,368954110_821ccf005c.jpg,girl in purple top holds toddler between herself and another girl on the grass in front of bush,three children sit on the grass,three little children are sitting in the grass,three little girls are sitting on the grass,three young girls are sitting on the lawn,two women are standing in the grass,0.5714285714285714,0.3333333333333333,0.2,2.2250738585072626e-308,5.395774370246974e-78
3,3689727848_b53f931130.jpg,boy tries to catch ball while jumping into pool,male dives for ball that 's flying over pool,male jumping into swimming pool,man dives into swimming pool at the hotel,the man is leaping off of the pool deck to catch football,man in blue shirt is in the water,0.375,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,1.4256605770826504e-231
4,3689975998_72f50b6d91.jpg,an asian girl is running outside,an asian woman is running on rocky path,woman runs on chalk white path,woman runs on the beach,woman with long black hair and white shirt is running up the sand and tall weeds,man in red shirt is standing on the ground in the snow,0.3333333333333333,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,7.401184483348608e-155
5,3690107455_0fdb4ecee7.jpg,woman is climbing rocky hill overshadowed by partly cloudy sky,woman nears cliff 's edge,woman walks across large rock,woman in black sports bra and shorts standing on an rocky elevation,woman walking on the rocks,man in red shirt is standing on rock,0.48675048941962806,0.1112572547244864,1.7328892633971685e-308,1.7328892633971685e-308,6.3502977614349235e-155
6,3690159129_93ba49ea18.jpg,man doing rollskating trick on ramp,man grinding the lip of pool on his rollerblades,man wearing green glasses crouches near the camera,man with green glasses does trick on his skateboard,rollerblader pauses at the top of skate ramp,man in red shirt is standing on the ground,0.3333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,1.384292958842266e-231
7,3690189273_927d42ff43.jpg,female runner in race,woman athlete wearing orange and black is running whilst carrying an orange beverage bottle,woman in an orange top and black shorts is running,woman is running race carrying plastic bottle,woman jogger,man in red shirt and white shirt is standing in front of the street,0.21428571428571425,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,1.2395288183339461e-231
8,3690348036_a01f243fb0.jpg,bmx biker is in midair attempting trick,boy does trick on bike in the woods,person is in the air with trick bike,person riding bike doing very high jump,the young man is performing bicycle trick high in the air,man is riding bike on the hill,0.8571428571428571,0.3333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,1.0905741632475476e-154
9,3690425778_3b390b3ea5.jpg,man jumps off of dock and into the water,person jumping off dock into water,person jumping into the water,the boy jumps into the water off of dock,the person wearing shorts and shirt is jumping off dock into the water,man is jumping off the edge of the water,0.8888888888888888,0.375,0.14285714285714285,2.2250738585072626e-308,5.705336763108155e-78
10,3690431163_1d81e19549.jpg,cop is standing next to person dressed like clown,female police officer stands next to woman dressed as the joker in batman,man with face makeup and red piece of fabric hanging from her mouth is being escorted by police officer,policewoman standing next to person wearing bright red glasses,policewoman with person streaked with colors and with red cloth in mouth,man in red shirt is wearing red shirt,0.5515605641153721,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,1.4295242192727586e-231
11,369047365_35476becc9.jpg,couple enjoying the high plains with their dogs,man is taking photo of another man and his two dogs on some grassy hills,dog training on the mountain,the man wearing the white shirt takes picture of the man in the blue shirt with the two dogs,two men take hike with two dogs,man in red shirt is standing on the ground,0.6666666666666666,0.25,2.2250738585072626e-308,2.2250738585072626e-308,9.53091075863908e-155
12,3690883532_d883f34617.jpg,two hikers crossing snowy field with mountainous terrain behind them,two hikers one wearing bikini walk on snow,two people are hiking in mountainous region,two people in shorts hike on the snow in the mountains with lake in the background,two people walks across field of snow,man in red shirt is standing on the top of mountain,0.36363636363636365,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,6.513869329968086e-155
13,3691592651_6e4e7f1da9.jpg,girl climbs an inflatable wall over water,woman climbs up floating object on the water,people climb on structure near water,two girls are climbing on an artificial climbing wall that is floating in lake,two girls climb on an iceburg climbing device that is floating in water,man is jumping off the water,0.5,0.2,2.2250738585072626e-308,2.2250738585072626e-308,8.38826642100846e-155
14,3691622437_f13644273c.jpg,girls are doing somersaults,girls cartwheeling inside,little girls do cartwheels in large empty room with folding chairs to one side,two girls are doing cartwheels as other children stand around watching,two girls doing cartwheels while other children look on,two children are playing in the street,0.4294155960430205,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308,1.1903225844148727e-231
15,3691670743_0ed111bcf3.jpg,boy is jumping on skateboard in the middle of red bridge,kid doing tricks on skateboard on bridge,skateboarder is airborne on bridge,skateboard jumps down bridge,the skateboarder in the white shirt jumped into the air,boy is jumping over the ground,0.6666666666666666,0.4,0.25,2.2250738585072626e-308,6.206021746903507e-78
16,3691729694_2b97f14c1e.jpg,man in red uniform makes jump in dirt bike race,man participates in bmx race,two bmx riders are racing around bumpy track,two people go dirt bike racing,two people ride bicycles over bumpy racetrack,man in red helmet is riding bike on the track,0.5,0.2222222222222222,0.12500000000000003,2.2250738585072626e-308,4.1927887725759647e-78
